jPosition,Artist,Song Title
1,Elvis Presley,All Shook Up
2,Pat Boone,Love Letters In The Sand
3,Diamonds,Little Darlin'
4,Tab Hunter,Young Love
5,Jimmy Dorsey,So Rare
6,Pat Boone,Don't Forbid Me
7,Guy Mitchell,Singing The Blues
8,Sonny James,Young Love
9,Elvis Presley,Too Much
10,Perry Como,Round And Round
11,Everly Brothers,Bye Bye Love
12,Debbie Reynolds,Tammy
13,Buddy Knox,Party Doll
14,Elvis Presley,Teddy Bear
15,Harry Belafonte,Banana Boat (Day-O)
16,Elvis Presley,Jailhouse Rock
17,Marty Robbins,A White Sport Coat (And A Pink Carnation)
18,Del-Vikings,Come Go With Me
19,Everly Brothers,Wake Up Little Susie
20,Sam Cooke,You Send Me
21,Coasters,Searchin'
22,Chuck Berry,School Day
23,Ferlin Husky,Gone
24,Paul Anka,Diana
25,Ricky Nelson,A Teenager's Romance
26,Tarriers,The Banana Boat Song
27,Jimmie Rodgers,Honeycomb
28,Jerry Lee Lewis,Whole Lotta Shakin' Goin' On
29,Gale Storm,Dark Moon
30,Crickets,That'll Be The Day
31,Charlie Gracie,Butterfly
32,Frankie Laine,Moonlight Gambler
33,Tommy Sands,Teenage Crush
34,Johnny Mathis,It's Not For Me To Say
35,Rays,Silhouettes
36,Andy Williams,Butterfly
37,Terry Gilkyson,Marianne
38,Fats Domino,I'm Walkin'
39,Johnny Mathis,Chances Are
40,Nat King Cole,Send For Me
41,Russ Hamilton,Rainbow
42,Ricky Nelson,Be-bop Baby
43,Larry Williams,Short Fat Fanny
44,Jim Lowe,The Green Door
45,Billy Williams,I'm Gonna Sit Rlght Down And Write Myself A Letter
46,Patti Page,Old Cape Cod
47,Bobbettes,Mr. Lee
48,Fats Domino,Blueberry Hill
49,Del-Vikings,Whispering Bells
50,Fats Domino,Blue Monday
51,Johnny Mathis,Wonderful! Wonderful!
52,Jane Morgan and the Troubadours,Fascination
53,Bobby Helms,My Special Angel
54,Billy Ward and His Dominoes,Star Dust
55,Bill Justis,Raunchy
56,Elvis Presley,Love Me Tender
57,Harry Belafonte,Jamaica Farewell
58,Pat Boone,Why Baby Why
59,Betty Johnson,I Dreamed
60,Buddy Knox,Hula Love
61,Tune Weavers,"Happy, Happy Birthday Baby"
62,Ivory Joe Hunter,Since I Met You Baby
63,Jim Reeves,Four Walls
64,Jerry Lewis,Rock-a-Bye Your Baby with a Dixie Melody
65,Mantovani,Around the World
66,Tony Bennett,In the Middle of an Island
67,Johnnie and Joe,Over the Mountain Across the Sea
68,Hilltoppers,Marianne
69,Don Rondo,White Silver Sands
70,Four Lads,Who Needs You
71,Ames Brothers,Melodie D'Amour
72,Thurston Harris,Little Bitty Pretty One
73,Steve Lawrence,Party Doll
74,Coasters,Young Blood
75,Victor Young,Around the World
76,Andy Williams,I Like Your Kind of Love
77,Bonnie Guitar,Dark Moon
78,Mickey and Sylvia,Love Is Strange
79,Chuck Berry,Rock and Roll Music
80,Little Richard,Jenny Jenny
81,Pat Boone,Bernardine
82,Little Richard,Keep a Knockin'
83,Sal Mineo,Start Movin'
84,Chuck Willis,C.C. Rider
85,Gene Vincent,Lotta Lovin'
86,Ernie Freeman,Raunchy
87,Fats Domino,Valley of Tears
88,Pat Boone,Remember You're Mine
89,Guy Mitchell,Rock-a-Billy
90,Margie Rayburn,I'm Available
91,Larry Williams,Bony Maronie
92,Harry Belafonte,Mama Look at Bubu
93,Patience and Prudence,Gonna Get Along Without Ya Now
94,Lavern Baker,Jim Dandy
95,Marvin Rainwater,Gonna Find Me a Bluebird
96,Four Coins,Shangri-La
97,Rusty Draper,Freight Train
98,Elvis Presley,Loving You
99,Jimmy Bowen,I'm Sticking with You
100,Joe Bennett and the Sparkletones,Black Slacks
