Position ,Artist,Song Title
1,Simon and Garfunkel,Bridge Over Troubled Water
2,Carpenters,(They Long To Be) Close To You
3,Guess Who,American Woman / No Sugar Tonight
4,B.J. Thomas,Raindrops Keep Fallin' On My Head
5,Edwin Starr,War
6,Diana Ross,Ain't No Mountain High Enough
7,Jackson 5,I'll Be There
8,Rare Earth,Get Ready
9,Beatles,Let It Be
10,Freda Payne,Band Of Gold
11,Three Dog Night,Mama Told Me (Not To Come)
12,Ray Stevens,Everything Is Beautiful
13,Bread,Make It With You
14,Vanity Fare,Hitchin' A Ride
15,Jackson 5,ABC
16,Jackson 5,The Love You Save
17,Neil Diamond,Cracklin' Rose
18,Dawn,Candida
19,Sly and The Family Stone,Thank You (Fallettin Me Be Mice Elf Again)
20,Eric Burdon and War,Spill The Wine
21,Five Stairsteps,O-o-h Child
22,Norman Greenbaum,Spirit In The Sky
23,Melanie and The Edwin Hawkins Singers,Lay Down (Candles In The Rain)
24,Temptations,Ball Of Confusion (That's What The World Is Today)
25,Moments,Love On A Two Way Street
26,Jackson 5,I Want You Back
27,Poppy Family,Which Way You Goin' Billy?
28,Free,All Right Now
29,Bobby Sherman,"Julie, Do Ya Love Me"
30,Sugarloaf,Green-Eyed Lady
31,Stevie Wonder,"Signed Sealed, Delivered (I'm Yours)"
32,Blues Image,Ride Captain Ride
33,Shocking Blue,Venus
34,John Lennon,Instant Karma (We All Shine On)
35,Clarence Carter,Patches
36,Creedence Clearwater Revival,Lookin' Out My Back Door / Long As I Can See The Light
37,Brook Benton,Rainy Night In Georgia
38,Kenny Rogers and The First Edition,Something's Burning
39,Chairmen Of The Board,Give Me Just A Little More Time
40,Edison Lighthouse,Love Grows (Where My Rosemary Goes)
41,Beatles,The Long And Winding Road / For You Blue
42,Anne Murray,Snowbird
43,Marmalade,Reflections Of My Life
44,Eddie Holman,Hey There Lonely Girl
45,Jaggerz,The Rapper
46,Hollies,"He Ain't Heavy, He's My Brother"
47,Alive and Kicking,"Tighter, Tighter"
48,Badfinger,Come And Get It
49,Simon and Garfunkel,Cecelia
50,Charles Wright and The Watts 103rd Street Rhythm Band,Love Land
51,Tyrone Davis,Turn Back The Hands Of Time
52,Kinks,Lola
53,Mungo Jerry,In The Summertime
54,R. Dean Taylor,Indiana Wants Me
55,Rare Earth,(I Know) I'm Losing You
56,Bobby Sherman,"Easy Come, Easy Go"
57,Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself
58,Four Tops,Still Water
59,Chicago,Make Me Smile
60,Frijid Pink,House Of The Rising Sun
61,Chicago,25 Or 6 To 4
62,White Plains,My Baby Loves Lovin'
63,Friends Of Distinction,Love Or Let Me Be Lonely
64,Brotherhood Of Man,United We Stand
65,Carpenters,We've Only Just Begun
66,Mark Lindsay,Arizona
67,James Taylor,Fire And Rain
68,Gene Chandler,Groovy Situation
69,Santana,Evil Ways
70,Guess Who,No Time
71,Delfonics,Didn't I (Blow Your Mind This Time)
72,Elvis Presley,The Wonder Of You / Mama Liked The Roses
73,Creedence Clearwater Revival,Up Around The Bend / Run Through The Jungle
74,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You
75,B.J. Thomas,I Just Can't Help Believing
76,Spinners,It's A Shame
77,Bobbi Martin,For The Love Of Him
78,Mountain,Mississippi Queen
79,Ike and Tina Turner,I Want To Take You Higher
80,Joe Cocker,The Letter
81,Tee Set,Ma Belle Amie
82,Originals,The Bells
83,Christie,Yellow River
84,100 Proof Aged In Soul,Somebody's Been Sleeping
85,Ides Of March,Vehicle
86,Pipkins,Gimme Dat Ding
87,Robin McNamara,Lay A Little Lovin' On Me
88,Supremes,Up The Ladder To The Roof
89,Creedence Clearwater Revival,Travelin' Band / Who'll Stop The Rain
90,Sandpipers,Come Saturday Morning
91,Temptations,Psychedelic Shack
92,Tom Jones,Without Love (There Is Nothing)
93,Pacific Gas and Electric,Are You Ready?
94,"Crosby, Stills, Nash and Young",Woodstock
95,Dionne Warwick,I'll Never Fall In Love Again
96,New Seekers,Look What They've Done To My Song Ma
97,Joe South,Walk A Mile In My Shoes
98,B.B. King,The Thrill Is Gone
99,Glen Campbell,It's Only Make Believe
100,Aretha Franklin,Call Me
